Energy_Type,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
total,World,20475.10516,21151.08653,21651.00057,22368.13548,22775.29875,23230.64462,23901.24368,24534.80561,25360.37462,25743.66282,25608.19708
total,Algeria,42.9985,48.17578,53.9846,56.3135,60.40082,64.68244,66.75504,71.49546,72.10903,76.685,72.78991277
total,Argentina,119.38857,122.62029,128.54358,132.15903,131.37253,137.521162,139.048123,137.897716,139.0950962,132.4658624,138.0198813
total,Australia,233.590043,240.803257,233.296073,229.875825,241.555085,230.763461,245.875588,249.738386,250.2300914,249.5945858,250.6580269
total,Austria,63.937654,58.36573,64.742413,60.802337,57.646226,58.069497,61.732328,63.467831,61.2203869,68.8020788,68.100601
total,Azerbaijan,17.76022,19.20992,21.69998,22.03526,23.32006,23.30046,23.56728,22.96136,23.82038,24.60663,24.37044
total,Bahrain,22.39656,22.88022,23.2903,24.36284,25.62707,26.78421,26.80865,27.48075,27.78249,31.44425,29.85563729
total,Bangladesh,38.493931,41.663816,45.735069,50.041294,52.597271,55.602462,64.842877,68.925837,73.971217,79.600877,75.47871973
total,Belarus,32.80964,30.27688,28.96224,29.63346,32.66718,32.0557,31.5763,32.48726,36.69196,37.7155,36.0619
total,Belgium,91.002351,86.160664,79.344337,79.555951,69.439713,66.981488,82.064225,82.78165,71.8155043,89.9314609,85.701887
total,Bosnia and Herzegovina,16.49812,14.58342,13.44898,16.7671,15.4885,14.96932,16.98653,15.38966,18.20808,16.65445,15.69052
total,Brazil,506.74832,523.1198,542.89456,559.37072,577.73988,566.893284,566.068396,575.480727,588.1115067,601.4435827,603.1553
total,Bulgaria,43.10972,46.73622,43.6821,40.46522,44.3275,44.079049,40.217008,40.431095,41.4243836,38.9149512,35.7841652
total,Canada,581.707868,611.421342,612.174504,637.650107,635.978212,638.850534,644.788913,644.58814,635.7934577,627.8128689,623.9858667
total,Chile,58.340829,63.447266,66.227114,69.937151,69.279874,72.361957,76.727142,77.254402,80.094819,81.2601503,80.8660861
total,China,3986.89162,4465.47856,4740.27258,5171.54802,5400.11356,5584.765637,5904.640151,6403.288784,6800.723877,7151.198599,7462.987888
total,Colombia,56.61698,58.91978,60.15212,72.14038,69.110203,76.20638,74.549256,77.467679,79.1815216,78.1495599,75.7309512
total,Croatia,14.32912,10.7817,10.15614,13.53468,13.08606,10.742444,12.052593,11.293476,13.125812,12.2922931,12.8324588
total,Cuba,16.38762,16.72778,17.36236,18.04058,18.24972,19.11878,19.27812,19.37068,19.63126,19.52646,18.51044841
total,Czech Republic,77.694447,79.244128,79.668827,78.990421,78.254983,75.785457,75.324978,78.886881,79.9821752,79.1107549,73.9507328
total,Denmark,37.913516,34.616036,30.258867,34.152282,31.85753,28.974012,30.197344,30.919752,30.4186372,29.8828185,28.9196916
total,Dominican Republic,13.98806,14.9304,15.79862,16.73036,16.28528,16.91708,17.674,18.04546,18.61596,18.90698,17.12284644
total,Ecuador,18.785,19.88524,22.10634,22.4391,23.45076,25.06906,26.48982,27.39144,28.54474,32.47643,32.13185
total,Egypt,139.05724,136.46734,142.00562,145.5473,151.9883,163.58664,167.65298,174.994584,177.831464,182.98812,157.97
total,Estonia,11.804113,11.743832,10.652741,11.959914,11.180938,9.301154,10.641563,11.501345,11.1889412,6.8665502,5.8752408
total,Finland,77.72505,70.963659,68.234809,69.05982,66.168692,66.888647,67.011713,65.811381,68.5524094,67.0671163,67.5709779
total,France,540.047655,543.751119,543.805111,553.20571,543.156671,550.962779,536.569261,533.683003,553.5441219,544.3273038,506.4986227
total,Germany,594.84304,577.776356,593.207791,603.262317,594.088504,613.292696,617.960534,621.812878,611.3968446,578.1760987,545.5231373
total,Greece,53.498057,53.668572,53.470754,52.614029,46.636551,47.867296,50.431187,50.513953,50.3658786,45.7982992,43.0839083
