Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
World,49758.23,49368.04,48251.88,47531.68,46871.77,46881.78,46238.61,45597.14,45041.81,44877.51
China,12055.41,11821.66,11385.48,11151.31,11108.86,11228.48,11168.26,10675.66,10388.48,9887.06
United States,5771,5892.37,5689.61,5743.85,5665.21,5779.54,5734.28,5593.25,5811.96,6026.14
India,3363.6,3360.56,3215.07,3076.48,3003.07,2984.52,2804.34,2740.4,2584.75,2546.79
European Union (27),3149.57,3295.53,3379.38,3364.77,3019.49,2962.68,3109.55,3188.85,3250.07,3619.79
Indonesia,1959.71,1692.36,1447.22,1434.46,2067.75,2015.5,1638.39,1702.3,1683.13,1131.73
Russia,1924.82,1868.15,1769.69,1733.91,1602.81,1621.85,1633.1,1674.58,1693.96,1521.96
Brazil,1451.63,1434.51,1475.82,1455.86,1366.89,1384.99,1344.89,1319.48,1276.46,2109.66
Japan,1134.45,1172.32,1214.59,1229.82,1220.73,1256.16,1298.56,1286.53,1243.96,1136.62
Iran,893.78,925.58,912.77,881.05,844.14,844.13,815.31,793.95,793.62,737.61
Canada,774.29,776.5,757.38,740.67,841.22,842.14,834.47,822.51,821.99,971.61
Saudi Arabia,723.15,715.23,729.31,739.82,731.89,698.29,654.85,638.88,601.75,569.68
Germany,720.23,771.48,800.21,817.47,814.64,809.96,850.84,834.47,821.26,861.83
Democratic Republic of the Congo,679.57,676.86,682.01,680.03,679.91,677.77,677.01,673.04,676.09,442.37
Mexico,670.84,669.63,688.06,689.71,681.94,663.46,674.64,687.03,679.06,576.98
South Korea,652.66,669.7,662.63,648.88,633.4,612.48,622.99,622.55,619.12,585.4
Australia,608.49,621.28,626.56,578.39,568.87,569.98,554.25,639.63,639.95,596.36
South Africa,562.19,556.72,557.46,542.89,542.51,567.33,554.77,544.98,524.74,540.67
Turkey,459.86,470.65,472.27,430.35,372.37,365.03,339.78,348.92,333.37,327.48
Pakistan,439.49,428.62,432.92,406.11,379.96,365.57,352.33,340.73,336.67,329.41
Vietnam,438.11,386.8,330,323.08,311.63,270.66,256.19,241.58,240.18,276.95
Thailand,437.18,421.41,417.99,411.08,387.86,383.84,387.42,376.44,353.49,319.84
United Kingdom,429.13,442.48,450.65,465.58,487,502.35,541.85,559.23,539.08,580.39
Argentina,398.91,404.95,407.58,403.23,435.81,428.81,431,421.2,416.09,434.83
Malaysia,396.11,384.04,360.65,377.38,187.53,202.09,169.28,148.39,146.34,370.38
Italy,376.19,385.22,391.74,396.95,379.58,367.92,387.64,419.63,437.82,448.37
Nigeria,354.33,345.7,340.02,335.84,325.43,331.28,321.55,307.78,304.25,293.77
France,352.1,360.76,374.26,371.62,372.12,366.68,400.17,399.26,395.62,406.15
Egypt,351.96,345.01,338.61,325.66,318.29,312.08,306.32,309.38,298.66,289.78
Iraq,321.31,304.03,293.1,277.35,254.02,242.06,241.89,228.27,202.12,188.62
Poland,320.23,337.7,339.46,326.54,321.5,318.34,331.54,337.34,344.31,303.69
Venezuela,299.6,337.05,363.75,393.2,479.92,502.49,505.11,502.83,466.48,448.86
Spain,293.08,311,318.4,301.85,317.43,306.84,308.14,334.52,340.89,330.13
Algeria,282.23,278.23,269.38,265.6,262.52,252.91,239.46,234.99,215.21,207.48
Kazakhstan,271.68,275.56,276.98,256.53,240.36,258.97,307.67,293.4,295.59,289.06
Colombia,270.53,265.37,256.46,261.48,232.02,231.15,227.54,220.55,221.67,241.74
United Arab Emirates,243.55,229.38,248.69,252.92,245.22,231.8,230.89,219.59,207.49,201.89
Myanmar,242.95,240.11,234.67,221.94,228.5,222.16,214.56,212.03,203.37,232.86
Bangladesh,237.7,229.78,224.83,215.72,214.1,203.97,199,194.92,191.01,185.71
Philippines,236.79,229.42,223.54,207.41,194.8,185.86,178.26,167.31,162.25,160.48
Ukraine,221.29,232.76,221.2,247.28,233.56,282.98,317.11,321.75,329.07,303.06
Peru,190.66,187.8,187.47,189.98,186.12,184.4,180.65,178.76,178.45,150.21
Uzbekistan,185.39,180.45,172.94,167.53,157.91,162.99,170.72,171.9,187.16,175.52
Ethiopia,183.37,180.95,179.26,175.56,169.34,166.06,159.85,155.63,150.03,149.91
Netherlands,173.59,178.62,184.71,188.71,187.82,179.56,186.76,187.09,188.71,201.63
Turkmenistan,157.33,154.97,152.51,152.94,155.08,151.33,151.15,144.42,136.68,116.62
Tanzania,154.89,151.98,152.72,153.6,142.55,136.29,135.57,133.67,129.05,127.25
Bolivia,138.72,129.59,129.2,130.37,119.65,116.72,115.92,115.3,114.44,125.46
Kuwait,136.69,133.83,131.1,131.71,125.97,121.1,121.86,117.62,113.05,107.34
Angola,128.29,120.1,131.15,133.52,135.83,129.91,128.1,125.68,126.65,126.96
Sudan,127.07,127.26,126.52,127.12,124.4,121.05,119.96,119.76,118.69,115.74
Libya,126.69,121.57,112.27,90.21,90.01,97.29,114.94,132.61,75.58,137.33
Cameroon,124.79,124.2,123.47,123.63,122.13,120.69,119.88,118.11,117.84,126
Zimbabwe,117.96,118.22,115.59,115.92,42.3,40.39,42.17,42.29,42.18,39.54
Qatar,114.76,109.18,110.06,109.37,106.79,103.59,98.53,96.61,88.22,78.53
Czech Republic,110.77,115.4,116.77,117.17,116.83,114.51,117.91,123.67,126.35,125.8
Belgium,108.22,109.22,108.47,110.54,109.06,104.15,110.53,109.55,110.77,121.73
Mozambique,106.74,111.15,106.73,108.02,97.3,98.99,99.31,97.64,93.08,103.31
Chad,105.68,103.21,98.71,97.2,95.01,89.57,86.98,85,81.2,69.51
Oman,100.28,99.54,94.41,94.74,91.48,87.04,83.47,79.52,71.3,63.88
Ecuador,98.7,98.83,97.66,98.96,91.16,92.63,90.98,87.93,88.04,99.41
Paraguay,96.6,94.62,96.46,93.51,114.67,114.27,112.43,110.84,109.62,96.54
Zambia,91.36,90.12,90.9,90.8,91.79,86.78,86.31,85.15,81.37,67.22
Morocco,91.15,84.87,83.05,78.33,80.02,77.8,76.6,76.11,74.31,66.26
Israel,87.26,84.85,88.56,87.03,87.19,85.24,87.08,95.54,89.04,89.28
North Korea,82.69,76.86,80.47,55.35,50.21,56.61,52.46,63.26,61.65,74.37
Greece,79.91,85.45,88.18,88.57,89.85,91.59,94.67,102.34,107.33,107.16
Romania,78.36,79.91,79.25,76.46,-184.27,-186.55,-185.86,-176.58,-174.27,103.54
Kenya,73.4,61.08,60.57,64.02,74.24,71.99,69.39,67.86,68.94,73.86
New Zealand,72.59,71.19,71.83,70.2,65.47,65.61,65.09,65.46,62.91,57.23
Cambodia,71.77,70.41,69.86,67.5,100.83,98.65,98.19,98.06,99.81,35.74
Austria,69.8,68.32,71.53,69.6,69.27,68.08,71.8,71.26,74.46,77.34
Singapore,67.26,66.56,67.59,63.81,62.33,60.61,59.45,58.56,58.96,55.9
Belarus,65.33,66.75,63.93,62.55,68.34,72.93,73.72,73.25,71.69,65.99
Papua New Guinea,63.47,63.62,63.11,63.03,62.33,59.67,58.1,56.92,56.23,48.18
Hungary,62.48,62.9,62.81,60.78,59.82,56.89,56.59,58.95,62.83,64.51
Serbia,61.86,61.5,63.27,62.87,58.66,52.34,60.35,59.63,64.48,27.4
Portugal,61.7,66.75,71.85,66.88,66.72,62.61,63.02,64.7,66.4,68.68
