Date,Energy source,% of total
2019,Other renewable,0.32
2019,Solar,1.57
2019,Wind,5.35
2019,Hydro,38.93
2019,Nuclear,3.16
2019,Oil,1.13
2019,Gas,9.83
2019,Coal,39.65
2020,Other renewable,0.46
2020,Solar,1.83
2020,Wind,5.19
2020,Hydro,33.67
2020,Nuclear,4.02
2020,Oil,1.21
2020,Gas,12.83
2020,Coal,40.37
2021,Other renewable,1.23
2021,Solar,2.73
2021,Wind,6.02
2021,Hydro,18.5
2021,Nuclear,8.85
2021,Oil,1.47
2021,Gas,22.92
2021,Coal,38.23
2022,Other renewable,1.72
2022,Solar,3.17
2022,Wind,6.52
2022,Hydro,14.87
2022,Nuclear,11.3
2022,Oil,0.89
2022,Gas,24.97
2022,Coal,36.55
